ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),2030206,Antenatal care provider: Doctor,33,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408001,1408010,Region,Western (pre 2022),14000,Three years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408001,1988,DHS,200,200,,,1
GHA,Western (pre 2022),7813169,Antenatal care provider: Doctor,34.6,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408001,1408010,Region,Western (pre 2022),14001,Five years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408001,1988,DHS,243,243,,,1
GHA,Western (pre 2022),2164762,Antenatal care provider: Doctor,34,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408001,1408010,Region,Western (pre 2022),14002,Two years preceding the survey,0,1,RHANCPWDOC,GHDHS1988408001,1988,DHS,150,150,,,1
GHA,Central,1831336,Antenatal care provider: Doctor,32.2,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408002,1408020,Region,Central,14000,Three years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408002,1988,DHS,239,239,,,1
GHA,Central,1831416,Antenatal care provider: Doctor,34.4,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408002,1408020,Region,Central,14001,Five years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408002,1988,DHS,299,299,,,1
GHA,Central,7117866,Antenatal care provider: Doctor,30.4,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408002,1408020,Region,Central,14002,Two years preceding the survey,0,1,RHANCPWDOC,GHDHS1988408002,1988,DHS,181,181,,,1
GHA,Greater Accra,6366661,Antenatal care provider: Doctor,42.3,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408003,1408030,Region,Greater Accra,14000,Three years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408003,1988,DHS,227,227,,,1
GHA,Greater Accra,1532606,Antenatal care provider: Doctor,43.1,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408003,1408030,Region,Greater Accra,14001,Five years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408003,1988,DHS,283,283,,,1
GHA,Greater Accra,3849660,Antenatal care provider: Doctor,41.1,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408003,1408030,Region,Greater Accra,14002,Two years preceding the survey,0,1,RHANCPWDOC,GHDHS1988408003,1988,DHS,146,146,,,1
GHA,Volta (pre 2022),6605889,Antenatal care provider: Doctor,23.5,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408004,1408040,Region,Volta (pre 2022),14000,Three years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408004,1988,DHS,264,264,,,1
GHA,Volta (pre 2022),6289890,Antenatal care provider: Doctor,25,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408004,1408040,Region,Volta (pre 2022),14001,Five years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408004,1988,DHS,312,312,,,1
GHA,Volta (pre 2022),4863864,Antenatal care provider: Doctor,24.9,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408004,1408040,Region,Volta (pre 2022),14002,Two years preceding the survey,0,1,RHANCPWDOC,GHDHS1988408004,1988,DHS,197,197,,,1
GHA,Eastern,5283166,Antenatal care provider: Doctor,33.1,1,GH,Ghana,1988,GH1988DHS,RH_ANCP_W_DOC,83363010,I,408005,1408050,Region,Eastern,14000,Three years preceding the survey,0,0,RHANCPWDOC,GHDHS1988408005,1988,DHS,347,347,,,1
