ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5214370,Children with any anemia,80.4,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNANMCCANY,GHDHS2003408001,2003,DHS,293,287,,,1
GHA,Central,7256545,Children with any anemia,76.8,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408002,1408020,Region,Central,0,,0,1,CNANMCCANY,GHDHS2003408002,2003,DHS,267,211,,,1
GHA,Greater Accra,1708782,Children with any anemia,61.3,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408003,1408030,Region,Greater Accra,0,,0,1,CNANMCCANY,GHDHS2003408003,2003,DHS,324,295,,,1
GHA,Volta (pre 2022),6278841,Children with any anemia,72.7,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNANMCCANY,GHDHS2003408004,2003,DHS,255,245,,,1
GHA,Eastern,1693955,Children with any anemia,74.4,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408005,1408050,Region,Eastern,0,,0,1,CNANMCCANY,GHDHS2003408005,2003,DHS,292,263,,,1
GHA,Ashanti,4485137,Children with any anemia,79,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408006,1408060,Region,Ashanti,0,,0,1,CNANMCCANY,GHDHS2003408006,2003,DHS,553,480,,,1
GHA,Brong-Ahafo,7444511,Children with any anemia,74.9,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CNANMCCANY,GHDHS2003408007,2003,DHS,333,384,,,1
GHA,"Northern, Upper West, Upper East",1687189,Children with any anemia,81,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CNANMCCANY,GHDHS2003408008,2003,DHS,675,1048,,,
GHA,Northern (pre 2022),7188966,Children with any anemia,82.5,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408009,1408090,Region,..Northern (pre 2022),0,,0,1,CNANMCCANY,GHDHS2003408009,2003,DHS,403,509,,,1
GHA,Upper West,2323352,Children with any anemia,78.3,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408010,1408100,Region,..Upper West,0,,0,1,CNANMCCANY,GHDHS2003408010,2003,DHS,86,282,,,1
GHA,Upper East,4787443,Children with any anemia,79.1,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_ANY,104466010,I,408011,1408110,Region,..Upper East,0,,0,1,CNANMCCANY,GHDHS2003408011,2003,DHS,186,257,,,1
GHA,Western (pre 2022),5214368,Children with mild anemia,23.8,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_MLD,104466020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CNANMCCMLD,GHDHS2003408001,2003,DHS,293,287,,,1
GHA,Central,7256547,Children with mild anemia,24.5,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_MLD,104466020,I,408002,1408020,Region,Central,0,,0,1,CNANMCCMLD,GHDHS2003408002,2003,DHS,267,211,,,1
GHA,Greater Accra,1708781,Children with mild anemia,24,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_MLD,104466020,I,408003,1408030,Region,Greater Accra,0,,0,1,CNANMCCMLD,GHDHS2003408003,2003,DHS,324,295,,,1
GHA,Volta (pre 2022),6278825,Children with mild anemia,25.3,1,GH,Ghana,2003,GH2003DHS,CN_ANMC_C_MLD,104466020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CNANMCCMLD,GHDHS2003408004,2003,DHS,255,245,,,1
