ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
GHA,Western (pre 2022),5784363,BCG vaccination received,18.7,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CHVACCCBCG,GHDHS1988408001,1988,DHS,75,75,,,1
GHA,Central,1312441,BCG vaccination received,31.3,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408002,1408020,Region,Central,0,,0,1,CHVACCCBCG,GHDHS1988408002,1988,DHS,96,96,,,1
GHA,Greater Accra,5095572,BCG vaccination received,74.7,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408003,1408030,Region,Greater Accra,0,,0,1,CHVACCCBCG,GHDHS1988408003,1988,DHS,79,79,,,1
GHA,Volta (pre 2022),3744076,BCG vaccination received,49.4,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CHVACCCBCG,GHDHS1988408004,1988,DHS,89,89,,,1
GHA,Eastern,1571132,BCG vaccination received,31.4,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408005,1408050,Region,Eastern,0,,0,1,CHVACCCBCG,GHDHS1988408005,1988,DHS,118,118,,,1
GHA,Ashanti,6601041,BCG vaccination received,31,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408006,1408060,Region,Ashanti,0,,0,1,CHVACCCBCG,GHDHS1988408006,1988,DHS,129,129,,,1
GHA,Brong-Ahafo,1303927,BCG vaccination received,33,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CHVACCCBCG,GHDHS1988408007,1988,DHS,100,100,,,1
GHA,"Northern, Upper West, Upper East",5485898,BCG vaccination received,26,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_BCG,93906010,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CHVACCCBCG,GHDHS1988408008,1988,DHS,96,96,,,1
GHA,Western (pre 2022),5784359,DPT 1 vaccination received,25.3,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CHVACCCDP1,GHDHS1988408001,1988,DHS,75,75,,,1
GHA,Central,1312439,DPT 1 vaccination received,30.2,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408002,1408020,Region,Central,0,,0,1,CHVACCCDP1,GHDHS1988408002,1988,DHS,96,96,,,1
GHA,Greater Accra,5095565,DPT 1 vaccination received,73.4,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408003,1408030,Region,Greater Accra,0,,0,1,CHVACCCDP1,GHDHS1988408003,1988,DHS,79,79,,,1
GHA,Volta (pre 2022),3744064,DPT 1 vaccination received,47.2,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CHVACCCDP1,GHDHS1988408004,1988,DHS,89,89,,,1
GHA,Eastern,1571134,DPT 1 vaccination received,33.9,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408005,1408050,Region,Eastern,0,,0,1,CHVACCCDP1,GHDHS1988408005,1988,DHS,118,118,,,1
GHA,Ashanti,6601011,DPT 1 vaccination received,37.2,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408006,1408060,Region,Ashanti,0,,0,1,CHVACCCDP1,GHDHS1988408006,1988,DHS,129,129,,,1
GHA,Brong-Ahafo,1303905,DPT 1 vaccination received,32,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408007,1408070,Region,Brong-Ahafo,0,,0,1,CHVACCCDP1,GHDHS1988408007,1988,DHS,100,100,,,1
GHA,"Northern, Upper West, Upper East",5485894,DPT 1 vaccination received,26,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP1,93906020,I,408008,1408080,Region,"Northern, Upper West, Upper East",0,,0,1,CHVACCCDP1,GHDHS1988408008,1988,DHS,96,96,,,1
GHA,Western (pre 2022),5784430,DPT 2 vaccination received,20,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP2,93906030,I,408001,1408010,Region,Western (pre 2022),0,,0,1,CHVACCCDP2,GHDHS1988408001,1988,DHS,75,75,,,1
GHA,Central,1312442,DPT 2 vaccination received,29.2,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP2,93906030,I,408002,1408020,Region,Central,0,,0,1,CHVACCCDP2,GHDHS1988408002,1988,DHS,96,96,,,1
GHA,Greater Accra,5095573,DPT 2 vaccination received,64.6,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP2,93906030,I,408003,1408030,Region,Greater Accra,0,,0,1,CHVACCCDP2,GHDHS1988408003,1988,DHS,79,79,,,1
GHA,Volta (pre 2022),3744088,DPT 2 vaccination received,37.1,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP2,93906030,I,408004,1408040,Region,Volta (pre 2022),0,,0,1,CHVACCCDP2,GHDHS1988408004,1988,DHS,89,89,,,1
GHA,Eastern,1571133,DPT 2 vaccination received,20.3,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP2,93906030,I,408005,1408050,Region,Eastern,0,,0,1,CHVACCCDP2,GHDHS1988408005,1988,DHS,118,118,,,1
GHA,Ashanti,6601042,DPT 2 vaccination received,28.7,1,GH,Ghana,1988,GH1988DHS,CH_VACC_C_DP2,93906030,I,408006,1408060,Region,Ashanti,0,,0,1,CHVACCCDP2,GHDHS1988408006,1988,DHS,129,129,,,1
